No,Year,Material,Type,Shape,Coat/Functional Group,Synthesis_Method,Surface_Charge,Diameter (nm),Size_in_Water (nm),Size_in_Medium (nm),Zeta_in_Water (mV),Zeta_in_Medium (mV),Cell_Type,No_of_Cells (cells/well),Human_Animal,Cell_Source,Cell_Tissue,Cell_Morphology,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Test,Test_Indicator,Aspect_Ratio,Cell_Viability (%),PDI,Article_ID,DOI
27,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,125,MTT,TetrazoliumSalt,,94.3,,1,10.3109/15376516.2015.1070229
28,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,250,MTT,TetrazoliumSalt,,72.356,,1,10.3109/15376516.2015.1070229
29,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,500,MTT,TetrazoliumSalt,,70.774,,1,10.3109/15376516.2015.1070229
30,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,1000,MTT,TetrazoliumSalt,,71.763,,1,10.3109/15376516.2015.1070229
31,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,1.95,MTT,TetrazoliumSalt,,103.52,,1,10.3109/15376516.2015.1070229
32,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,3.9,MTT,TetrazoliumSalt,,96.761,,1,10.3109/15376516.2015.1070229
33,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,7.8,MTT,TetrazoliumSalt,,109.86,,1,10.3109/15376516.2015.1070229
34,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,15.6,MTT,TetrazoliumSalt,,122.75,,1,10.3109/15376516.2015.1070229
35,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,31.2,MTT,TetrazoliumSalt,,104.58,,1,10.3109/15376516.2015.1070229
36,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,62.5,MTT,TetrazoliumSalt,,118.73,,1,10.3109/15376516.2015.1070229
37,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,125,MTT,TetrazoliumSalt,,94.648,,1,10.3109/15376516.2015.1070229
38,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,250,MTT,TetrazoliumSalt,,103.1,,1,10.3109/15376516.2015.1070229
39,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,500,MTT,TetrazoliumSalt,,105.63,,1,10.3109/15376516.2015.1070229
40,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,,375.4,135.83,-26.8,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,1000,MTT,TetrazoliumSalt,,80.493,,1,10.3109/15376516.2015.1070229
41,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,1.95,MTT,TetrazoliumSalt,,120,,1,10.3109/15376516.2015.1070229
42,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,3.9,MTT,TetrazoliumSalt,,119.41,,1,10.3109/15376516.2015.1070229
43,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,7.8,MTT,TetrazoliumSalt,,109.52,,1,10.3109/15376516.2015.1070229
44,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,15.6,MTT,TetrazoliumSalt,,111.3,,1,10.3109/15376516.2015.1070229
45,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,31.2,MTT,TetrazoliumSalt,,114.86,,1,10.3109/15376516.2015.1070229
46,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,62.5,MTT,TetrazoliumSalt,,116.05,,1,10.3109/15376516.2015.1070229
47,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,125,MTT,TetrazoliumSalt,,106.95,,1,10.3109/15376516.2015.1070229
48,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,250,MTT,TetrazoliumSalt,,73.74,,1,10.3109/15376516.2015.1070229
49,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,500,MTT,TetrazoliumSalt,,93.904,,1,10.3109/15376516.2015.1070229
50,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,1000,MTT,TetrazoliumSalt,,76.31,,1,10.3109/15376516.2015.1070229
51,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,1.95,MTT,TetrazoliumSalt,,104.15,,1,10.3109/15376516.2015.1070229
52,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,3.9,MTT,TetrazoliumSalt,,102.89,,1,10.3109/15376516.2015.1070229
53,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,7.8,MTT,TetrazoliumSalt,,102.04,,1,10.3109/15376516.2015.1070229
54,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,15.6,MTT,TetrazoliumSalt,,94.225,,1,10.3109/15376516.2015.1070229
55,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,31.2,MTT,TetrazoliumSalt,,90.423,,1,10.3109/15376516.2015.1070229
56,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,62.5,MTT,TetrazoliumSalt,,91.056,,1,10.3109/15376516.2015.1070229
57,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,125,MTT,TetrazoliumSalt,,100.77,,1,10.3109/15376516.2015.1070229
58,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,250,MTT,TetrazoliumSalt,,96.761,,1,10.3109/15376516.2015.1070229
59,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,500,MTT,TetrazoliumSalt,,103.94,,1,10.3109/15376516.2015.1070229
60,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,,437,142.11,21.7,,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,1000,MTT,TetrazoliumSalt,,85.775,,1,10.3109/15376516.2015.1070229
61,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1,CellTiterBlue,AlamarBlue,,107.59,,2,10.5402/2012/454072
62,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,10,CellTiterBlue,AlamarBlue,,100.81,,2,10.5402/2012/454072
63,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,100,CellTiterBlue,AlamarBlue,,70.11,,2,10.5402/2012/454072
64,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1000,CellTiterBlue,AlamarBlue,,22.617,,2,10.5402/2012/454072
65,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1,XTT,TetrazoliumSalt,,123.42,,2,10.5402/2012/454072
66,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,10,XTT,TetrazoliumSalt,,114.38,,2,10.5402/2012/454072
67,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,100,XTT,TetrazoliumSalt,,82.714,,2,10.5402/2012/454072
68,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1000,XTT,TetrazoliumSalt,,25.525,,2,10.5402/2012/454072
69,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1,LDH,LDHrelease,,4.5234,,2,10.5402/2012/454072
70,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,10,LDH,LDHrelease,,6.1389,,2,10.5402/2012/454072
71,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,100,LDH,LDHrelease,,22.294,,2,10.5402/2012/454072
72,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1000,LDH,LDHrelease,,69.467,,2,10.5402/2012/454072
73,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,6000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1,Live/Dead,PropidiumIodide,,95.315,,2,10.5402/2012/454072
74,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,6000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,10,Live/Dead,PropidiumIodide,,86.268,,2,10.5402/2012/454072
75,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,6000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,100,Live/Dead,PropidiumIodide,,69.467,,2,10.5402/2012/454072
76,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,6000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1000,Live/Dead,PropidiumIodide,,9.6931,,2,10.5402/2012/454072
77,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,6000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1,Live/Dead,CalceinAM,,94.023,,2,10.5402/2012/454072
78,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,6000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,10,Live/Dead,CalceinAM,,91.761,,2,10.5402/2012/454072
79,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,6000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,100,Live/Dead,CalceinAM,,71.729,,2,10.5402/2012/454072
80,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,,RAW264.7,6000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1000,Live/Dead,CalceinAM,,44.265,,2,10.5402/2012/454072
81,2015,QD,I,Sphere,DPA,Precipitation,Neutral,5.4,,,,,SVEC4-10,,A,Mouse,Axillary Lymph Node,Epithelial,Adult,L,24,,MTS,TetrazoliumSalt,,105.33,,3,10.3762/bjnano.6.28
82,2015,QD,I,Sphere,DPA,Precipitation,Neutral,5.4,,,,,SVEC4-10,,A,Mouse,Axillary Lymph Node,Epithelial,Adult,L,24,,MTS,TetrazoliumSalt,,89.73,,3,10.3762/bjnano.6.28
83,2015,QD,I,Sphere,DPA,Precipitation,Neutral,5.4,,,,,J774A.1,,A,Mouse,Ascites,Macrophage,Adult,L,24,,MTS,TetrazoliumSalt,,109.52,,3,10.3762/bjnano.6.28
84,2015,QD,I,Sphere,DPA,Precipitation,Neutral,5.4,,,,,J774A.1,,A,Mouse,Ascites,Macrophage,Adult,L,24,,MTS,TetrazoliumSalt,,112.26,,3,10.3762/bjnano.6.28
85,2015,QD,I,Sphere,MPA,Precipitation,Negative,5.4,,,,,SVEC4-10,,A,Mouse,Axillary Lymph Node,Epithelial,Adult,L,24,,MTS,TetrazoliumSalt,,93.591,,3,10.3762/bjnano.6.28
86,2015,QD,I,Sphere,MPA,Precipitation,Negative,5.4,,,,,SVEC4-10,,A,Mouse,Axillary Lymph Node,Epithelial,Adult,L,24,,MTS,TetrazoliumSalt,,45.56,,3,10.3762/bjnano.6.28
87,2015,QD,I,Sphere,MPA,Precipitation,Negative,5.4,,,,,J774A.1,,A,Mouse,Ascites,Macrophage,Adult,L,24,,MTS,TetrazoliumSalt,,111.61,,3,10.3762/bjnano.6.28
88,2015,QD,I,Sphere,MPA,Precipitation,Negative,5.4,,,,,J774A.1,,A,Mouse,Ascites,Macrophage,Adult,L,24,,MTS,TetrazoliumSalt,,57.419,,3,10.3762/bjnano.6.28
89,2015,QD,I,Sphere,CyA,Precipitation,Positive,5.4,,,,,SVEC4-10,,A,Mouse,Axillary Lymph Node,Epithelial,Adult,L,24,,MTS,TetrazoliumSalt,,29.961,,3,10.3762/bjnano.6.28
90,2015,QD,I,Sphere,CyA,Precipitation,Positive,5.4,,,,,SVEC4-10,,A,Mouse,Axillary Lymph Node,Epithelial,Adult,L,24,,MTS,TetrazoliumSalt,,25.019,,3,10.3762/bjnano.6.28
91,2015,QD,I,Sphere,CyA,Precipitation,Positive,5.4,,,,,J774A.1,,A,Mouse,Ascites,Macrophage,Adult,L,24,,MTS,TetrazoliumSalt,,86.129,,3,10.3762/bjnano.6.28
92,2015,QD,I,Sphere,CyA,Precipitation,Positive,5.4,,,,,J774A.1,,A,Mouse,Ascites,Macrophage,Adult,L,24,,MTS,TetrazoliumSalt,,22.581,,3,10.3762/bjnano.6.28
93,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,,18,170,,,,VERO,10000,A,Monkey,Kidney,Epithelial,Adult,L,24,100,MTT,TetrazoliumSalt,,102,,4,10.1002/jbm.b.33068
94,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,,18,170,,,,VERO,10000,A,Monkey,Kidney,Epithelial,Adult,L,24,200,MTT,TetrazoliumSalt,,105.08,,4,10.1002/jbm.b.33068
95,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,,18,170,,,,VERO,10000,A,Monkey,Kidney,Epithelial,Adult,L,24,300,MTT,TetrazoliumSalt,,100,,4,10.1002/jbm.b.33068
96,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,,18,170,,,,VERO,10000,A,Monkey,Kidney,Epithelial,Adult,L,24,400,MTT,TetrazoliumSalt,,100,,4,10.1002/jbm.b.33068
97,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,,18,170,,,,VERO,10000,A,Monkey,Kidney,Epithelial,Adult,L,24,500,MTT,TetrazoliumSalt,,80,,4,10.1002/jbm.b.33068
98,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,,18,170,,,,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,100,MTT,TetrazoliumSalt,,101.97,,4,10.1002/jbm.b.33068
99,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,,18,170,,,,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,200,MTT,TetrazoliumSalt,,115.09,,4,10.1002/jbm.b.33068
100,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,,18,170,,,,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,300,MTT,TetrazoliumSalt,,115.09,,4,10.1002/jbm.b.33068
101,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,,18,170,,,,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,400,MTT,TetrazoliumSalt,,100.1,,4,10.1002/jbm.b.33068
102,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,,18,170,,,,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,500,MTT,TetrazoliumSalt,,118.08,,4,10.1002/jbm.b.33068
103,2014,IronOxide,I,Sphere,PEG,Thermal Decomposition,,18,120,,,,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,100,MTT,TetrazoliumSalt,,80,,4,10.1002/jbm.b.33068
104,2014,IronOxide,I,Sphere,PEG,Thermal Decomposition,,18,120,,,,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,200,MTT,TetrazoliumSalt,,75.077,,4,10.1002/jbm.b.33068
105,2014,IronOxide,I,Sphere,PEG,Thermal Decomposition,,18,120,,,,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,300,MTT,TetrazoliumSalt,,50,,4,10.1002/jbm.b.33068
106,2014,IronOxide,I,Sphere,PEG,Thermal Decomposition,,18,120,,,,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,400,MTT,TetrazoliumSalt,,38,,4,10.1002/jbm.b.33068
107,2014,IronOxide,I,Sphere,PEG,Thermal Decomposition,,18,120,,,,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,500,MTT,TetrazoliumSalt,,34.923,,4,10.1002/jbm.b.33068
108,2014,IronOxide,I,Sphere,PEG,Thermal Decomposition,,18,120,,,,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,100,MTT,TetrazoliumSalt,,89.986,,4,10.1002/jbm.b.33068
109,2014,IronOxide,I,Sphere,PEG,Thermal Decomposition,,18,120,,,,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,200,MTT,TetrazoliumSalt,,80.245,,4,10.1002/jbm.b.33068
110,2014,IronOxide,I,Sphere,PEG,Thermal Decomposition,,18,120,,,,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,300,MTT,TetrazoliumSalt,,31.916,,4,10.1002/jbm.b.33068
111,2014,IronOxide,I,Sphere,PEG,Thermal Decomposition,,18,120,,,,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,400,MTT,TetrazoliumSalt,,30.043,,4,10.1002/jbm.b.33068
112,2014,IronOxide,I,Sphere,PEG,Thermal Decomposition,,18,120,,,,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,500,MTT,TetrazoliumSalt,,30.043,,4,10.1002/jbm.b.33068
113,2012,Bi,I,Sphere,None,Precipitation,,20,,,,,HeLa,20000,H,Human,Cervix,Epithelial,Adult,L,24,,Live/Dead,CalceinAM,,97.16,,5,10.1007/s10856-012-4716-1
114,2012,Bi,I,Sphere,None,Precipitation,,20,,,,,HeLa,20000,H,Human,Cervix,Epithelial,Adult,L,24,,Live/Dead,CalceinAM,,86.296,,5,10.1007/s10856-012-4716-1
