Sample,QD-source,Core,Shell,QD-diameter-nm,Emission-wavelength-nm,Surface-ligand,Ligand-chemical,Surface-charge,Surface-modification,Surface-modification-chemical,Cell-anatomical-type,Cell-identification,Cell-source-species,Cell-origin,Cell-tissue-organ-origin,Assay-type,Delivery-type,Exposure-time-hrs,QD-conc-nanoMolar,QD/cell-attomoles/cell,QD/cell-number/cell,Cd-conc-ug/mL,Cd-conc/cell-picomoles/cell,Cell-viability-percent,Cell-viability-StdDev,IC50Value,IC50-ug/ml,IC50-nMolar,IC50-ug/ml,Lowest-conc-nMolar,Lowest-conc-ug/ml,Highest-conc-nMolar,Highest-conc-ug/ml,Surface-conc-nMolar,Reference,
12,In-house,CdSe,No-shell,9.5,NA,Aminothiol,CYST,Positive,Unmodified,Unmodified,Epithelial,NHBE,Human ,Primary,Bronchial-tracheal,WST,Passive,22,2.3E+00,3.1E+01,1.8E+07,2.1E+00,2.4E-01,140.0,3.0,Over50,NA,NA,NA,3.3E-01,5.0E-01,2.3E+00,3.5E+00,6.5E+02,1,
13,In-house,CdSe,ZnS,5.0,590,Alkylthiol,TGA-Alpha-Fetoprotein-Antibody,Neutral,Protein,Antibody,Hepatocyte,HCCLM6,Human ,Cell-line,Liver,MTT,Active,48,2.5E+02,2.5E+03,1.5E+09,7.8E+00,7.0E-01,73.0,5.0,Over50,NA,NA,NA,3.0E+01,5.3E+00,2.5E+02,4.4E+01,2.0E+04,2,
14,Commercial,CdSe,ZnS,9.0,655,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Passive,24,2.0E+01,1.6E+02,9.6E+07,4.5E+00,3.2E-01,53.0,1.0,IC50,1.9E+01,2.0E+01,1.9E+01,2.0E-01,1.9E-01,2.0E+01,1.9E+01,6.8E+03,3,
15,Commercial,CdSe,ZnS,2.1,520,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Epithelial,SH-SY5Y,Human ,Cell-line,Bone-Marrow,MTT,Passive,24,6.8E+03,1.7E+04,1.0E+10,4.0E+01,8.8E-01,38.0,3.0,IC50,7.5E+01,5.1E+03,7.5E+01,6.8E+01,1.0E+00,6.8E+03,1.0E+02,9.3E+04,4,
16,Commercial,CdSe,ZnS,6.3,640,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Epithelial,SH-SY5Y,Human ,Cell-line,Bone-Marrow,MTT,Passive,24,2.4E+02,6.1E+02,3.7E+08,4.9E+01,1.1E+00,40.0,9.0,IC50,8.0E+01,1.9E+02,8.0E+01,2.4E+00,1.0E+00,2.4E+02,1.0E+02,3.0E+04,4,
17,Commercial,CdSe,No-shell,2.2,478,Lipid,Hexadecylamine/Lipid-PEG,Neutral,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,24,1.3E+03,2.6E+04,1.6E+10,1.5E+01,2.6E+00,90.0,NA,Over50,NA,NA,NA,1.0E+02,2.0E+00,1.3E+03,2.5E+01,2.0E+04,5,
18,Commercial,CdSe,No-shell,2.2,478,Lipid,Hexadecylamine/Lipid-PEG-Doxorubicin,Neutral,Toxin,Doxorubicin,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,24,1.3E+03,2.6E+04,1.6E+10,1.5E+01,2.6E+00,40.0,NA,IC50,5.0E+00,2.6E+02,5.0E+00,1.0E+02,2.0E+00,1.3E+03,2.5E+01,2.0E+04,5,
19,In-house,CdSe,ZnS,5.5,NA,Alkylthiol,MAA,Negative,Unmodified,Unmodified,Neural,IMR,Human ,Cell-line,Brain,MTT,Passive,24,7.5E+01,1.5E+01,9.0E+06,3.4E+00,6.0E-03,95.0,5.0,NA,NA,NA,NA,NA,NA,7.5E+01,1.8E+01,7.1E+03,6,
20,In-house,CdSe,No-shell,3.5,NA,Alkylthiol,MAA,Negative,Unmodified,Unmodified,Neural,IMR,Human ,Cell-line,Brain,MTT,Passive,24,3.0E+02,6.0E+01,3.6E+07,1.4E+01,2.4E-02,38.0,3.0,IC50,1.7E+01,2.3E+02,1.7E+01,1.5E+02,1.2E+01,3.0E+02,2.3E+01,1.2E+04,6,
21,In-house,CdSe,No-shell,2.4,NA,Other-Hydrophilic,Other-Hydrophilic,Neutral,Unmodified,Unmodified,Neuronal ,Rat-Hippocampal-Neurons,Rat,Primary,Brain,MTT,Passive,24,2.0E+01,2.0E+02,1.2E+08,2.8E-01,2.5E-02,75.0,4.0,Over50,NA,NA,NA,1.0E+00,2.4E-02,2.0E+01,4.8E-01,3.6E+02,7,
22,In-house,CdSe,CdS,7.1,621,Amphiphilic-polymer,Amphiphilic-polymer/PMAO/PEG-Amine,Positive,Unmodified,Unmodified,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Passive,24,1.0E+01,1.4E+02,8.6E+07,2.1E+00,2.7E-01,70.0,2.0,Over50,NA,NA,NA,3.1E-01,9.2E-02,1.0E+01,2.9E+00,2.2E+03,8,
23,In-house,CdSe,CdS,7.1,621,Amphiphilic-polymer,Amphiphilic-polymer/PMAO/PEG-Amine,Positive,Unmodified,Unmodified,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Passive,48,1.0E+01,1.4E+02,8.6E+07,2.1E+00,2.7E-01,70.0,1.0,Over50,NA,NA,NA,3.1E-01,9.2E-02,1.0E+01,2.9E+00,2.2E+03,8,
24,In-house,CdSe,ZnS,4.0,550,Alkylthiol,Alkylthiol-CPP,Positive,Delivery-Peptide,CPP,Fibroblast,COS,Monkey,Cell-line,Kidney,MTT,Active,2,1.0E+02,1.0E+03,6.0E+08,1.5E+00,1.3E-01,100.0,5.0,Over50,NA,NA,NA,8.0E-01,7.2E-02,1.0E+02,9.0E+00,5.0E+03,9,
25,In-house,CdSe,ZnS,4.0,550,Alkylthiol,Alkylthiol-CPP,Positive,Delivery-Peptide,CPP,Fibroblast,COS,Monkey,Cell-line,Kidney,MTT,Active,2,1.0E+02,1.0E+03,6.0E+08,1.5E+00,1.3E-01,95.0,2.0,Over50,NA,NA,NA,8.0E-01,7.2E-02,1.0E+02,9.0E+00,5.0E+03,9,
26,In-house,CdSe,ZnS,4.0,550,Alkylthiol,Alkylthiol-CPP,Positive,Delivery-Peptide,CPP,Fibroblast,COS,Monkey,Cell-line,Kidney,MTT,Active,2,1.0E+02,1.0E+03,6.0E+08,1.5E+00,1.3E-01,100.0,3.0,Over50,NA,NA,NA,8.0E-01,7.2E-02,1.0E+02,9.0E+00,5.0E+03,9,
27,In-house,CdSe,ZnS,4.0,550,Alkylthiol,Alkylthiol-CPP,Positive,Delivery-Peptide,CPP,Fibroblast,COS,Monkey,Cell-line,Kidney,MTT,Active,2,1.0E+02,1.0E+03,6.0E+08,2.3E+00,2.1E-01,84.0,7.0,Over50,NA,NA,NA,8.0E-01,8.3E-02,1.0E+02,1.0E+01,5.0E+03,9,
28,Commercial,CdSe,ZnS,4.6,565,PEG,PEG,Neutral,Unmodified,Unmodified,Fibroblast,bovine-skin-fibroblasts,Cow,Primary,Skin,MTT,Passive,24,2.0E+01,1.0E+02,6.0E+07,5.6E-01,2.5E-02,88.0,2.0,Over50,NA,NA,NA,5.0E+00,7.0E-01,2.0E+01,2.8E+00,1.3E+03,10,
29,Commercial,CdSe,ZnS,4.6,565,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Fibroblast,bovine-skin-fibroblasts,Cow,Primary,Skin,MTT,Passive,24,2.0E+01,1.0E+02,6.0E+07,5.6E-01,2.5E-02,63.0,3.0,IC50,4.2E+00,3.0E+01,4.2E+00,5.0E+00,7.0E-01,2.0E+01,2.8E+00,1.3E+03,10,
30,Commercial,CdSe,ZnS,4.6,565,PEG,PEG-Amine,Positive,Unmodified,Unmodified,Fibroblast,bovine-skin-fibroblasts,Cow,Primary,Skin,MTT,Passive,24,2.0E+01,1.0E+02,6.0E+07,5.6E-01,2.5E-02,95.0,1.0,Over50,NA,NA,NA,5.0E+00,7.0E-01,2.0E+01,2.8E+00,1.3E+03,10,
31,Commercial,CdSe,ZnS,9.0,655,PEG,PEG,Neutral,Unmodified,Unmodified,Fibroblast,bovine-skin-fibroblasts,Cow,Primary,Skin,MTT,Passive,24,2.0E+01,1.0E+02,6.0E+07,4.5E+00,2.0E-01,113.0,3.0,Over50,NA,NA,NA,5.0E+00,4.7E+00,2.0E+01,1.9E+01,6.8E+03,10,
32,Commercial,CdSe,ZnS,9.0,655,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Fibroblast,bovine-skin-fibroblasts,Cow,Primary,Skin,MTT,Passive,24,2.0E+01,1.0E+02,6.0E+07,4.5E+00,2.0E-01,71.0,1.0,Over50,NA,NA,NA,5.0E+00,4.7E+00,2.0E+01,1.9E+01,6.8E+03,10,
33,Commercial,CdSe,ZnS,9.0,655,PEG,PEG-Amine,Positive,Unmodified,Unmodified,Fibroblast,bovine-skin-fibroblasts,Cow,Primary,Skin,MTT,Passive,24,2.0E+01,1.0E+02,6.0E+07,4.5E+00,2.0E-01,108.0,1.0,Over50,NA,NA,NA,5.0E+00,4.7E+00,2.0E+01,1.9E+01,6.8E+03,10,
34,Commercial,CdSe,ZnS,4.6,565,PEG,PEG,Neutral,Unmodified,Unmodified,Fibroblast,bovine-skin-fibroblasts,Cow,Primary,Skin,MTT,Passive,48,2.0E+01,1.0E+02,6.0E+07,5.6E-01,2.5E-02,137.0,9.0,Over50,NA,NA,NA,5.0E+00,7.0E-01,2.0E+01,2.8E+00,1.3E+03,10,
35,Commercial,CdSe,ZnS,4.6,565,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Fibroblast,bovine-skin-fibroblasts,Cow,Primary,Skin,MTT,Passive,48,2.0E+01,1.0E+02,6.0E+07,5.6E-01,2.5E-02,68.0,3.0,Over50,NA,NA,NA,5.0E+00,7.0E-01,2.0E+01,2.8E+00,1.3E+03,10,
36,Commercial,CdSe,ZnS,4.6,565,PEG,PEG-Amine,Positive,Unmodified,Unmodified,Fibroblast,bovine-skin-fibroblasts,Cow,Primary,Skin,MTT,Passive,48,2.0E+01,1.0E+02,6.0E+07,5.6E-01,2.5E-02,120.0,5.0,Over50,NA,NA,NA,5.0E+00,7.0E-01,2.0E+01,2.8E+00,1.3E+03,10,
37,Commercial,CdSe,ZnS,9.0,655,PEG,PEG,Neutral,Unmodified,Unmodified,Fibroblast,bovine-skin-fibroblasts,Cow,Primary,Skin,MTT,Passive,48,2.0E+01,1.0E+02,6.0E+07,4.5E+00,2.0E-01,132.0,5.0,Over50,NA,NA,NA,5.0E+00,4.7E+00,2.0E+01,1.9E+01,6.8E+03,10,
38,Commercial,CdSe,ZnS,9.0,655,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Fibroblast,bovine-skin-fibroblasts,Cow,Primary,Skin,MTT,Passive,48,2.0E+01,1.0E+02,6.0E+07,4.5E+00,2.0E-01,89.0,13.0,Over50,NA,NA,NA,5.0E+00,4.7E+00,2.0E+01,1.9E+01,6.8E+03,10,
39,Commercial,CdSe,ZnS,9.0,655,PEG,PEG-Amine,Positive,Unmodified,Unmodified,Fibroblast,bovine-skin-fibroblasts,Cow,Primary,Skin,MTT,Passive,48,2.0E+01,1.0E+02,6.0E+07,4.5E+00,2.0E-01,124.0,9.0,Over50,NA,NA,NA,5.0E+00,4.7E+00,2.0E+01,1.9E+01,6.8E+03,10,
40,Commercial,CdSe,ZnS,4.6,565,PEG,PEG,Neutral,Unmodified,Unmodified,Fibroblast,bovine-corneal-fibroblasts,Cow,Primary,Eye,MTT,Passive,24,2.0E+01,1.0E+02,6.0E+07,5.6E-01,2.5E-02,92.0,1.0,Over50,NA,NA,NA,5.0E+00,7.0E-01,2.0E+01,2.8E+00,1.3E+03,10,
41,Commercial,CdSe,ZnS,4.6,565,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Fibroblast,bovine-corneal-fibroblasts,Cow,Primary,Eye,MTT,Passive,24,2.0E+01,1.0E+02,6.0E+07,5.6E-01,2.5E-02,71.0,7.0,Over50,NA,NA,NA,5.0E+00,7.0E-01,2.0E+01,2.8E+00,1.3E+03,10,
42,Commercial,CdSe,ZnS,4.6,565,PEG,PEG-Amine,Positive,Unmodified,Unmodified,Fibroblast,bovine-corneal-fibroblasts,Cow,Primary,Eye,MTT,Passive,24,2.0E+01,1.0E+02,6.0E+07,5.6E-01,2.5E-02,89.0,2.0,Over50,NA,NA,NA,5.0E+00,7.0E-01,2.0E+01,2.8E+00,1.3E+03,10,
43,Commercial,CdSe,ZnS,9.0,655,PEG,PEG,Neutral,Unmodified,Unmodified,Fibroblast,bovine-corneal-fibroblasts,Cow,Primary,Eye,MTT,Passive,24,2.0E+01,1.0E+02,6.0E+07,4.5E+00,2.0E-01,101.0,3.0,Over50,NA,NA,NA,5.0E+00,4.7E+00,2.0E+01,1.9E+01,6.8E+03,10,
44,Commercial,CdSe,ZnS,9.0,655,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Fibroblast,bovine-corneal-fibroblasts,Cow,Primary,Eye,MTT,Passive,24,2.0E+01,1.0E+02,6.0E+07,4.5E+00,2.0E-01,51.0,11.0,IC50,1.9E+01,2.0E+01,1.9E+01,5.0E+00,4.7E+00,2.0E+01,1.9E+01,6.8E+03,10,
45,Commercial,CdSe,ZnS,9.0,655,PEG,PEG-Amine,Positive,Unmodified,Unmodified,Fibroblast,bovine-corneal-fibroblasts,Cow,Primary,Eye,MTT,Passive,24,2.0E+01,1.0E+02,6.0E+07,4.5E+00,2.0E-01,88.0,3.0,Over50,NA,NA,NA,5.0E+00,4.7E+00,2.0E+01,1.9E+01,6.8E+03,10,
46,Commercial,CdSe,ZnS,4.6,565,PEG,PEG,Neutral,Unmodified,Unmodified,Fibroblast,bovine-corneal-fibroblasts,Cow,Primary,Eye,MTT,Passive,48,2.0E+01,1.0E+02,6.0E+07,5.6E-01,2.5E-02,89.0,5.0,Over50,NA,NA,NA,5.0E+00,7.0E-01,2.0E+01,2.8E+00,1.3E+03,10,
47,Commercial,CdSe,ZnS,4.6,565,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Fibroblast,bovine-corneal-fibroblasts,Cow,Primary,Eye,MTT,Passive,48,2.0E+01,1.0E+02,6.0E+07,5.6E-01,2.5E-02,66.0,2.0,Over50,NA,NA,NA,5.0E+00,7.0E-01,2.0E+01,2.8E+00,1.3E+03,10,
48,Commercial,CdSe,ZnS,4.6,565,PEG,PEG-Amine,Positive,Unmodified,Unmodified,Fibroblast,bovine-corneal-fibroblasts,Cow,Primary,Eye,MTT,Passive,48,2.0E+01,1.0E+02,6.0E+07,5.6E-01,2.5E-02,77.0,1.0,Over50,NA,NA,NA,5.0E+00,7.0E-01,2.0E+01,2.8E+00,1.3E+03,10,
49,Commercial,CdSe,ZnS,9.0,655,PEG,PEG,Neutral,Unmodified,Unmodified,Fibroblast,bovine-corneal-fibroblasts,Cow,Primary,Eye,MTT,Passive,48,2.0E+01,1.0E+02,6.0E+07,4.5E+00,2.0E-01,75.0,10.0,Over50,NA,NA,NA,5.0E+00,4.7E+00,2.0E+01,1.9E+01,6.8E+03,10,
50,Commercial,CdSe,ZnS,9.0,655,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Fibroblast,bovine-corneal-fibroblasts,Cow,Primary,Eye,MTT,Passive,48,2.0E+01,1.0E+02,6.0E+07,4.5E+00,2.0E-01,48.0,6.0,IC50,1.9E+01,2.0E+01,1.9E+01,5.0E+00,4.7E+00,2.0E+01,1.9E+01,6.8E+03,10,
51,Commercial,CdSe,ZnS,9.0,655,PEG,PEG-Amine,Positive,Unmodified,Unmodified,Fibroblast,bovine-corneal-fibroblasts,Cow,Primary,Eye,MTT,Passive,48,2.0E+01,1.0E+02,6.0E+07,4.5E+00,2.0E-01,63.0,4.0,IC50,2.8E+01,3.0E+01,2.8E+01,5.0E+00,4.7E+00,2.0E+01,1.9E+01,6.8E+03,10,
52,In-house,CdSe,ZnS,3.0,520,Alkylthiol-PEG,DHLA-PEG,Neutral,Unmodified,Unmodified,Fibroblast,COS,Monkey,Cell-line,Kidney,MTT,Passive,3,1.0E+02,1.0E+03,6.0E+08,6.1E-01,5.5E-02,89.0,6.0,Over50,NA,NA,NA,8.0E-01,3.1E-02,1.0E+02,3.8E+00,2.8E+03,11,
53,In-house,CdSe,ZnS,3.0,520,Alkylthiol-PEG,DHLA-PEG-PULSin,Positive,Polymer,PULsin,Fibroblast,COS,Monkey,Cell-line,Kidney,MTT,Active,3,1.0E+02,1.0E+03,6.0E+08,6.1E-01,5.5E-02,58.0,11.0,IC50,5.0E+00,1.3E+02,5.0E+00,8.0E-01,3.1E-02,1.0E+02,3.8E+00,2.8E+03,11,
54,In-house,CdSe,ZnS,3.0,520,Alkylthiol-PEG,DHLA-PEG-CPP,Positive,Delivery-Peptide,CPP,Fibroblast,COS,Monkey,Cell-line,Kidney,MTT,Active,3,2.0E+02,2.0E+03,1.2E+09,1.2E+00,1.1E-01,92.0,1.0,Over50,NA,NA,NA,8.0E-01,3.1E-02,2.0E+02,7.6E+00,5.7E+03,11,
55,In-house,CdSe,ZnS,3.0,520,Alkylthiol-PEG,DHLA-PEG,Neutral,Unmodified,Unmodified,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Passive,3,1.0E+02,1.0E+03,6.0E+08,6.1E-01,5.5E-02,87.0,5.0,Over50,NA,NA,NA,8.0E-01,3.1E-02,1.0E+02,3.8E+00,2.8E+03,11,
56,In-house,CdSe,ZnS,3.0,520,Alkylthiol-PEG,DHLA-PEG-PULSin,Positive,Polymer,PULsin,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Active,3,1.0E+02,1.0E+03,6.0E+08,6.1E-01,5.5E-02,53.0,11.0,IC50,4.8E+00,1.3E+02,4.8E+00,8.0E-01,3.1E-02,1.0E+02,3.8E+00,2.8E+03,11,
57,In-house,CdSe,ZnS,3.0,520,Alkylthiol-PEG,DHLA-PEG-CPP,Positive,Delivery-Peptide,CPP,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Active,3,2.0E+02,2.0E+03,1.2E+09,1.2E+00,1.1E-01,85.0,2.0,Over50,NA,NA,NA,8.0E-01,3.1E-02,2.0E+02,7.6E+00,5.7E+03,11,
58,Commercial,CdSe,ZnS,4.6,565,PEG,PEG,Neutral,Unmodified,Unmodified,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Passive,24,2.0E+01,2.9E+02,1.8E+08,5.6E-01,7.4E-02,100.0,1.0,Over50,NA,NA,NA,2.0E-01,2.8E-02,2.0E+01,2.8E+00,1.3E+03,12,
59,Commercial,CdSe,ZnS,4.6,565,PEG,PEG-Amine,Positive,Unmodified,Unmodified,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Passive,24,2.0E+01,2.9E+02,1.8E+08,5.6E-01,7.4E-02,98.0,4.0,Over50,NA,NA,NA,2.0E-01,2.8E-02,2.0E+01,2.8E+00,1.3E+03,12,
60,Commercial,CdSe,ZnS,4.6,565,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Passive,24,2.0E+01,2.9E+02,1.8E+08,5.6E-01,7.4E-02,61.0,1.0,Over50,NA,NA,NA,2.0E-01,2.8E-02,2.0E+01,2.8E+00,1.3E+03,12,
61,Commercial,CdSe,ZnS,9.0,655,PEG,PEG,Neutral,Unmodified,Unmodified,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Passive,24,2.0E+01,2.9E+02,1.8E+08,4.5E+00,5.9E-01,96.0,2.0,Over50,NA,NA,NA,2.0E-01,1.9E-01,2.0E+01,1.9E+01,6.8E+03,12,
62,Commercial,CdSe,ZnS,9.0,655,PEG,PEG-Amine,Positive,Unmodified,Unmodified,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Passive,24,2.0E+01,2.9E+02,1.8E+08,4.5E+00,5.9E-01,102.0,4.0,Over50,NA,NA,NA,2.0E-01,1.9E-01,2.0E+01,1.9E+01,6.8E+03,12,
63,Commercial,CdSe,ZnS,9.0,655,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Passive,24,2.0E+01,2.9E+02,1.8E+08,4.5E+00,5.9E-01,65.0,2.0,Over50,NA,NA,NA,2.0E-01,1.9E-01,2.0E+01,1.9E+01,6.8E+03,12,
64,Commercial,CdSe,ZnS,4.6,565,PEG,PEG,Neutral,Unmodified,Unmodified,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Passive,48,2.0E+01,2.9E+02,1.8E+08,5.6E-01,7.4E-02,94.0,1.0,Over50,NA,NA,NA,2.0E-01,2.8E-02,2.0E+01,2.8E+00,1.3E+03,12,
65,Commercial,CdSe,ZnS,4.6,565,PEG,PEG-Amine,Positive,Unmodified,Unmodified,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Passive,48,2.0E+01,2.9E+02,1.8E+08,5.6E-01,7.4E-02,70.0,2.0,Over50,NA,NA,NA,2.0E-01,2.8E-02,2.0E+01,2.8E+00,1.3E+03,12,
66,Commercial,CdSe,ZnS,4.6,565,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Passive,48,2.0E+01,2.9E+02,1.8E+08,5.6E-01,7.4E-02,49.0,2.0,IC50,2.8E+00,2.0E+01,2.8E+00,2.0E-01,2.8E-02,2.0E+01,2.8E+00,1.3E+03,12,
67,Commercial,CdSe,ZnS,9.0,655,PEG,PEG,Neutral,Unmodified,Unmodified,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Passive,48,2.0E+01,2.9E+02,1.8E+08,4.5E+00,5.9E-01,82.0,3.0,Over50,NA,NA,NA,2.0E-01,1.9E-01,2.0E+01,1.9E+01,6.8E+03,12,
68,Commercial,CdSe,ZnS,9.0,655,PEG,PEG-Amine,Positive,Unmodified,Unmodified,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Passive,48,2.0E+01,2.9E+02,1.8E+08,4.5E+00,5.9E-01,72.0,3.0,Over50,NA,NA,NA,2.0E-01,1.9E-01,2.0E+01,1.9E+01,6.8E+03,12,
