Reference,Study title,DOI,Dose,Time,Zeta_W,Zeta_W measurement,Zeta_M,Zeta_M measurement,Hydro_W,Hydro_size_W measrement,Hydro_M,Hydro_size_M measrement,Size,Size measurement,SSA,Surf_area measurement,NP type,shape,Shape measurement,C_Origin,C_name,C_Type,Assay,Cell viability
"Trickler et al., 2010",Silver nanoparticle induced blood-brain barrier inflammation and increased permeability in primary rat brain microvessel endothelial cells,doi:10.1093/toxsci/kfq244,50,24,-46,LDV,?,?,54.9,DLS,73.9,DLS,47,TEM,?,?,Ag,Spherical,TEM,Rat,BMEC,Endothelial,XTT,Toxic
"Trickler et al., 2010",Silver nanoparticle induced blood-brain barrier inflammation and increased permeability in primary rat brain microvessel endothelial cells,doi:10.1093/toxsci/kfq244,25,24,-29.5,LDV,?,?,177,DLS,166,DLS,102,TEM,?,?,Ag,Spherical,TEM,Rat,BMEC,Endothelial,XTT,Non-Toxic
"Trickler et al., 2010",Silver nanoparticle induced blood-brain barrier inflammation and increased permeability in primary rat brain microvessel endothelial cells,doi:10.1093/toxsci/kfq244,50,24,-29.5,LDV,?,?,177,DLS,166,DLS,102,TEM,?,?,Ag,Spherical,TEM,Rat,BMEC,Endothelial,XTT,Toxic
"Chen et al., 2016",Influence of silver and titanium dioxide nanoparticles on in vitroblood-brain barrier permeabilityI,doi.org/10.1016/j.etap.2016.09.009,2,24,6.3,DLS,-5.5,DLS,114.5,DLS,105.6,DLS,8,TEM,?,?,Ag,Spherical,TEM,Mouse,ALT,Astrocytes,AlamarBlue,Toxic
"Chen et al., 2016",Influence of silver and titanium dioxide nanoparticles on in vitroblood-brain barrier permeabilityI,doi.org/10.1016/j.etap.2016.09.009,4,24,6.3,DLS,-5.5,DLS,114.5,DLS,105.6,DLS,8,TEM,?,?,Ag,Spherical,TEM,Mouse,ALT,Astrocytes,AlamarBlue,Non-Toxic
"Chen et al., 2016",Influence of silver and titanium dioxide nanoparticles on in vitroblood-brain barrier permeabilityI,doi.org/10.1016/j.etap.2016.09.009,15,24,44,DLS,-14.4,DLS,48.4,DLS,91.5,DLS,6,TEM,?,?,TiO2,Oval,TEM,Mouse,ALT,Astrocytes,AlamarBlue,Non-Toxic
"Chen et al., 2016",Influence of silver and titanium dioxide nanoparticles on in vitroblood-brain barrier permeabilityI,doi.org/10.1016/j.etap.2016.09.009,100,24,44,DLS,-14.4,DLS,48.4,DLS,91.5,DLS,6,TEM,?,?,TiO2,Oval,TEM,Mouse,ALT,Astrocytes,AlamarBlue,Non-Toxic
"Chen et al., 2016",Influence of silver and titanium dioxide nanoparticles on in vitroblood-brain barrier permeabilityI,doi.org/10.1016/j.etap.2016.09.009,100,24,42.8,DLS,-9.9,DLS,130.5,DLS,244.6,DLS,35,TEM,?,?,TiO2,Oval,TEM,Mouse,ALT,Astrocytes,AlamarBlue,Non-Toxic
"Brun et al., 2012",In vitro evidence of dysregulation of blood–brain barrier function after acute and repeated/long-term exposure to TiO2 nanoparticles,doi.org/10.1016/j.biomaterials.2011.10.025,50,24,?,?,?,?,?,?,?,?,25.2,TEM,?,?,TiO2,Oval,TEM,Rat,BMEC,Endothelial,MTT,Non-Toxic
"Brun et al., 2012",In vitro evidence of dysregulation of blood–brain barrier function after acute and repeated/long-term exposure to TiO2 nanoparticles,doi.org/10.1016/j.biomaterials.2011.10.025,100,24,?,?,?,?,?,?,?,?,25.2,TEM,?,?,TiO2,Oval,TEM,Rat,BMEC,Endothelial,MTT,Non-Toxic
"Brun et al., 2012",In vitro evidence of dysregulation of blood–brain barrier function after acute and repeated/long-term exposure to TiO2 nanoparticles,doi.org/10.1016/j.biomaterials.2011.10.025,150,24,?,?,?,?,?,?,?,?,25.2,TEM,?,?,TiO2,Oval,TEM,Rat,BMEC,Endothelial,MTT,Non-Toxic
"Brun et al., 2012",In vitro evidence of dysregulation of blood–brain barrier function after acute and repeated/long-term exposure to TiO2 nanoparticles,doi.org/10.1016/j.biomaterials.2011.10.025,200,24,?,?,?,?,?,?,?,?,25.2,TEM,?,?,TiO2,Oval,TEM,Rat,BMEC,Endothelial,MTT,Non-Toxic
"Bulcke et al., 2014",Uptake and toxicity of copper oxide nanoparticles in cultured primary brain astrocytes,doi.org/10.3109/17435390.2013.829591,6,6,-49,ELS,-10,ELS,136,DLS,178,DLS,5,TEM,?,?,CuO,crystalline,TEM,Rat,Primary,Astrocytes,LDH,Toxic
"Bulcke et al., 2014",Uptake and toxicity of copper oxide nanoparticles in cultured primary brain astrocytes,doi.org/10.3109/17435390.2013.829591,12,3,-49,ELS,-10,ELS,136,DLS,178,DLS,5,TEM,?,?,CuO,crystalline,TEM,Rat,Primary,Astrocytes,LDH,Toxic
"Bulcke et al., 2014",Uptake and toxicity of copper oxide nanoparticles in cultured primary brain astrocytes,doi.org/10.3109/17435390.2013.829591,63,6,-49,ELS,-10,ELS,136,DLS,178,DLS,5,TEM,?,?,CuO,crystalline,TEM,Rat,Primary,Astrocytes,LDH,Toxic
"Bulcke et al., 2014",Uptake and toxicity of copper oxide nanoparticles in cultured primary brain astrocytes,doi.org/10.3109/17435390.2013.829591,0.06,3,-49,ELS,-10,ELS,136,DLS,178,DLS,5,TEM,?,?,CuO,crystalline,TEM,Rat,Primary,Astrocytes,LDH,Non-Toxic
"Choi et al., 2010",Silica-Based Nanoparticle Uptake and Cellular Response by Primary Microglia,"doi.org/10.1289/ehp.0901534
",0.0218,24,?,?,-23,DLS,?,?,165,?,165,SEM,?,?,SiO2,Spherical,SEM,Rat,Primary,Microglial ,MTS,Non-Toxic
"Choi et al., 2010",Silica-Based Nanoparticle Uptake and Cellular Response by Primary Microglia,"doi.org/10.1289/ehp.0901534
",0.0728,24,?,?,-23,DLS,?,?,165,?,165,SEM,?,?,SiO2,Spherical,SEM,Rat,Primary,Microglial ,MTS,Non-Toxic
"Choi et al., 2010",Silica-Based Nanoparticle Uptake and Cellular Response by Primary Microglia,"doi.org/10.1289/ehp.0901534
",0.364,24,?,?,-23,DLS,?,?,165,?,165,SEM,?,?,SiO2,Spherical,SEM,Rat,Primary,Microglial ,MTS,Non-Toxic
"Choi et al., 2010",Silica-Based Nanoparticle Uptake and Cellular Response by Primary Microglia,"doi.org/10.1289/ehp.0901534
",2.18,24,?,?,-23,DLS,?,?,165,?,165,SEM,?,?,SiO2,Spherical,SEM,Rat,Primary,Microglial ,MTS,Non-Toxic
"Choi et al., 2010",Silica-Based Nanoparticle Uptake and Cellular Response by Primary Microglia,"doi.org/10.1289/ehp.0901534
",7.28,24,?,?,-23,DLS,?,?,165,?,165,SEM,?,?,SiO2,Spherical,SEM,Rat,Primary,Microglial ,MTS,Non-Toxic
"Choi et al., 2010",Silica-Based Nanoparticle Uptake and Cellular Response by Primary Microglia,"doi.org/10.1289/ehp.0901534
",36.4,24,?,?,-23,DLS,?,?,165,?,165,SEM,?,?,SiO2,Spherical,SEM,Rat,Primary,Microglial ,MTS,Non-Toxic
"Huang et al., 2015",Silver nanoparticles affect on gene expression of inflammatory and neurodegenerative responses in mouse brain neural cells,doi.org/10.1016/j.envres.2014.11.006,0.5,24,?,?,-4.2,?,?,?,?,?,4,?,?,?,Ag,?,?,Mouse,ALT,Astrocytes,AlamarBlue,Toxic
"Huang et al., 2015",Silver nanoparticles affect on gene expression of inflammatory and neurodegenerative responses in mouse brain neural cells,doi.org/10.1016/j.envres.2014.11.006,1,24,?,?,-4.2,?,?,?,?,?,4,?,?,?,Ag,?,?,Mouse,ALT,Astrocytes,AlamarBlue,Toxic
"Huang et al., 2015",Silver nanoparticles affect on gene expression of inflammatory and neurodegenerative responses in mouse brain neural cells,doi.org/10.1016/j.envres.2014.11.006,10,24,?,?,-4.2,?,?,?,?,?,4,?,?,?,Ag,?,?,Mouse,ALT,Astrocytes,AlamarBlue,Toxic
"Huang et al., 2015",Silver nanoparticles affect on gene expression of inflammatory and neurodegenerative responses in mouse brain neural cells,doi.org/10.1016/j.envres.2014.11.006,12.5,24,?,?,-4.2,?,?,?,?,?,4,?,?,?,Ag,?,?,Mouse,ALT,Astrocytes,AlamarBlue,Toxic
"Huang et al., 2015",Silver nanoparticles affect on gene expression of inflammatory and neurodegenerative responses in mouse brain neural cells,doi.org/10.1016/j.envres.2014.11.006,0.5,24,?,?,-4.2,?,?,?,?,?,4,?,?,?,Ag,?,?,Mouse,N2a,Neuroblastoma,AlamarBlue,Non-Toxic
"Huang et al., 2015",Silver nanoparticles affect on gene expression of inflammatory and neurodegenerative responses in mouse brain neural cells,doi.org/10.1016/j.envres.2014.11.006,1,24,?,?,-4.2,?,?,?,?,?,4,?,?,?,Ag,?,?,Mouse,N2a,Neuroblastoma,AlamarBlue,Non-Toxic
"Huang et al., 2015",Silver nanoparticles affect on gene expression of inflammatory and neurodegenerative responses in mouse brain neural cells,doi.org/10.1016/j.envres.2014.11.006,10,24,?,?,-4.2,?,?,?,?,?,4,?,?,?,Ag,?,?,Mouse,N2a,Neuroblastoma,AlamarBlue,Non-Toxic
"Huang et al., 2015",Silver nanoparticles affect on gene expression of inflammatory and neurodegenerative responses in mouse brain neural cells,doi.org/10.1016/j.envres.2014.11.006,12.5,24,?,?,-4.2,?,?,?,?,?,4,?,?,?,Ag,?,?,Mouse,N2a,Neuroblastoma,AlamarBlue,Toxic
"Huang et al., 2015",Silver nanoparticles affect on gene expression of inflammatory and neurodegenerative responses in mouse brain neural cells,doi.org/10.1016/j.envres.2014.11.006,0.5,24,?,?,-4.2,?,?,?,?,?,4,?,?,?,Ag,?,?,Mouse,BV2,Microglial ,AlamarBlue,Non-Toxic
"Huang et al., 2015",Silver nanoparticles affect on gene expression of inflammatory and neurodegenerative responses in mouse brain neural cells,doi.org/10.1016/j.envres.2014.11.006,1,24,?,?,-4.2,?,?,?,?,?,4,?,?,?,Ag,?,?,Mouse,BV2,Microglial ,AlamarBlue,Non-Toxic
"Huang et al., 2015",Silver nanoparticles affect on gene expression of inflammatory and neurodegenerative responses in mouse brain neural cells,doi.org/10.1016/j.envres.2014.11.006,10,24,?,?,-4.2,?,?,?,?,?,4,?,?,?,Ag,?,?,Mouse,BV2,Microglial ,AlamarBlue,Non-Toxic
"Huang et al., 2015",Silver nanoparticles affect on gene expression of inflammatory and neurodegenerative responses in mouse brain neural cells,doi.org/10.1016/j.envres.2014.11.006,12.5,24,?,?,-4.2,?,?,?,?,?,4,?,?,?,Ag,?,?,Mouse,BV2,Microglial ,AlamarBlue,Non-Toxic
"Long et al., 2007",Nanosize titanium dioxide stimulates reactive oxygen species in brain microglia and damages neurons in vitro.,doi:10.1289/ehp.10216,40,6,-12.2,EM,-9.1,EM,?,?,?,?,25,DLS,?,?,TiO2,?,?,Mouse,BV2,Microglial ,Caspase_3/7 ,Toxic
"Long et al., 2007",Nanosize titanium dioxide stimulates reactive oxygen species in brain microglia and damages neurons in vitro.,doi:10.1289/ehp.10216,40,24,-12.2,EM,-9.1,EM,?,?,?,?,25,DLS,?,?,TiO2,?,?,Mouse,BV2,Microglial ,Caspase_3/7 ,Toxic
"Long et al., 2007",Nanosize titanium dioxide stimulates reactive oxygen species in brain microglia and damages neurons in vitro.,doi:10.1289/ehp.10216,40,24,-12.2,EM,-9.1,EM,?,?,?,?,25,DLS,?,?,TiO2,?,?,Rat,N27 ,Mesencephalic,Caspase_3/7 ,Non-Toxic
"Long et al., 2007",Nanosize titanium dioxide stimulates reactive oxygen species in brain microglia and damages neurons in vitro.,doi:10.1289/ehp.10216,40,48,-12.2,EM,-9.1,EM,?,?,?,?,25,DLS,?,?,TiO2,?,?,Rat,N27 ,Mesencephalic,Caspase_3/7 ,Non-Toxic
"Long et al., 2007",Nanosize titanium dioxide stimulates reactive oxygen species in brain microglia and damages neurons in vitro.,doi:10.1289/ehp.10216,40,72,-12.2,EM,-9.1,EM,?,?,?,?,25,DLS,?,?,TiO2,?,?,Rat,N27 ,Mesencephalic,Caspase_3/7 ,Non-Toxic
"Long et al., 2007",Nanosize titanium dioxide stimulates reactive oxygen species in brain microglia and damages neurons in vitro.,doi:10.1289/ehp.10216,80,24,-12.2,EM,-9.1,EM,?,?,?,?,25,DLS,?,?,TiO2,?,?,Rat,N27 ,Mesencephalic,Caspase_3/7 ,Non-Toxic
"Long et al., 2007",Nanosize titanium dioxide stimulates reactive oxygen species in brain microglia and damages neurons in vitro.,doi:10.1289/ehp.10216,80,48,-12.2,EM,-9.1,EM,?,?,?,?,25,DLS,?,?,TiO2,?,?,Rat,N27 ,Mesencephalic,Caspase_3/7 ,Non-Toxic
"Long et al., 2007",Nanosize titanium dioxide stimulates reactive oxygen species in brain microglia and damages neurons in vitro.,doi:10.1289/ehp.10216,80,72,-12.2,EM,-9.1,EM,?,?,?,?,25,DLS,?,?,TiO2,?,?,Rat,N27 ,Mesencephalic,Caspase_3/7 ,Non-Toxic
"Long et al., 2007",Nanosize titanium dioxide stimulates reactive oxygen species in brain microglia and damages neurons in vitro.,doi:10.1289/ehp.10216,120,24,-12.2,EM,-9.1,EM,?,?,?,?,25,DLS,?,?,TiO2,?,?,Rat,N27 ,Mesencephalic,Caspase_3/7 ,Non-Toxic
"Long et al., 2007",Nanosize titanium dioxide stimulates reactive oxygen species in brain microglia and damages neurons in vitro.,doi:10.1289/ehp.10216,120,48,-12.2,EM,-9.1,EM,?,?,?,?,25,DLS,?,?,TiO2,?,?,Rat,N27 ,Mesencephalic,Caspase_3/7 ,Non-Toxic
"Long et al., 2007",Nanosize titanium dioxide stimulates reactive oxygen species in brain microglia and damages neurons in vitro.,doi:10.1289/ehp.10216,120,72,-12.2,EM,-9.1,EM,?,?,?,?,25,DLS,?,?,TiO2,?,?,Rat,N27 ,Mesencephalic,Caspase_3/7 ,Non-Toxic
"Long et al., 2007",Nanosize titanium dioxide stimulates reactive oxygen species in brain microglia and damages neurons in vitro.,doi:10.1289/ehp.10216,5,6,-12.2,EM,-9.1,EM,?,?,?,?,25,DLS,?,?,TiO2,?,?,Rat,N27 ,Mesencephalic,Caspase_3/7 ,Toxic
"Wilson et al, 2015","Mitochondrial dysfunction and loss of glutamate uptake in
primary astrocytes exposed to titanium dioxide nanoparticles.",doi:10.1039/c5nr03646a,25,24,?,?,-10.4,PALS,?,?,541.2,DLS,50,TEM,?,?,TiO2,Spherical,TEM,Rat,Primary,Astrocytes,MTT,Toxic
"Wilson et al, 2015","Mitochondrial dysfunction and loss of glutamate uptake in
primary astrocytes exposed to titanium dioxide nanoparticles.",doi:10.1039/c5nr03646a,50,24,?,?,-9.4,PALS,?,?,555.9,DLS,50,TEM,?,?,TiO2,Spherical,TEM,Rat,Primary,Astrocytes,MTT,Toxic
"Wilson et al, 2015","Mitochondrial dysfunction and loss of glutamate uptake in
primary astrocytes exposed to titanium dioxide nanoparticles.",doi:10.1039/c5nr03646a,100,24,?,?,-10.8,PALS,?,?,545.3,DLS,50,TEM,?,?,TiO2,Spherical,TEM,Rat,Primary,Astrocytes,MTT,Toxic
"Wilson et al, 2015","Mitochondrial dysfunction and loss of glutamate uptake in
primary astrocytes exposed to titanium dioxide nanoparticles.",doi:10.1039/c5nr03646a,25,24,?,?,-10.7,PALS,?,?,366.9,DLS,21,TEM,?,?,TiO2,irregular,TEM,Rat,Primary,Astrocytes,MTT,Toxic
"Wilson et al, 2015","Mitochondrial dysfunction and loss of glutamate uptake in
primary astrocytes exposed to titanium dioxide nanoparticles.",doi:10.1039/c5nr03646a,50,24,?,?,-8.5,PALS,?,?,363.5,DLS,21,TEM,?,?,TiO2,irregular,TEM,Rat,Primary,Astrocytes,MTT,Toxic
"Wilson et al, 2015","Mitochondrial dysfunction and loss of glutamate uptake in
primary astrocytes exposed to titanium dioxide nanoparticles.",doi:10.1039/c5nr03646a,100,24,?,?,-9.2,PALS,?,?,362.4,DLS,21,TEM,?,?,TiO2,irregular,TEM,Rat,Primary,Astrocytes,MTT,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,1.5,48,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,15,48,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,31,48,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,62,48,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,125,48,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,250,48,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,1.5,24,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,15,24,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,31,24,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,62,24,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Non-Toxic
