Nanoparticle,Type: Organic (O)/inorganic (I),coat,Diameter (nm),Concentration μM,Zeta potential (mV),Cells,Cell line (L)/primary cells (P),Human(H)/Animal(A) cells,Animal?,Cell morphology,"Cell age: embryonic (E), Adult (A)",Cell-organ/tissue source,Exposure time (h),Test,Test indicator,Biochemical metric,% Cell viability,Interference checked (Y/N),Colloidal stability checked (Y/N),Positive control (Y/N),Publication year,Particle ID,Reference DOI,
CuO,I,,239,3.68153E-10,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,100,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-09,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,95.505615,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-08,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,1.84076E-07,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,75.2809,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-07,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,43.820225,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,7.36305E-07,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,15.730337,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,1.84076E-06,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,13.483146,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-06,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,13.483146,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-11,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,46.294353,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-10,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,44.390324,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-09,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,44.36371,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-08,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,33.08468,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,1.84076E-07,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,27.435486,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-07,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,12.40403,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,7.36305E-07,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,12.37742,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,1.84076E-06,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,-6.40161,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-06,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,-32.67822,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-11,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,43.374195,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-10,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,41.47016,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-09,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,45.19597,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-08,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,30.16451,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,1.84076E-07,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,11.39032,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-07,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,5.73629,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,7.36305E-07,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,-1.79274,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,1.84076E-06,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,-16.81935,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,239,3.68153E-06,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,-37.47339,N,Y,N,2011,4,10.1007/s10565-011-9191-9,
CuO,I,,33,0.001,,SH­SY5Y,L,H,,Epithelial,A,Bone Marrow,48,MTS,tetrazolium salt,cell metabolic activity,34.999928,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,0.1,,SH­SY5Y,L,H,,Epithelial,A,Bone Marrow,48,MTS,tetrazolium salt,cell metabolic activity,32.006794,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,1,,SH­SY5Y,L,H,,Epithelial,A,Bone Marrow,48,MTS,tetrazolium salt,cell metabolic activity,37.407795,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,10,,SH­SY5Y,L,H,,Epithelial,A,Bone Marrow,48,MTS,tetrazolium salt,cell metabolic activity,41.71446,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,100,,SH­SY5Y,L,H,,Epithelial,A,Bone Marrow,48,MTS,tetrazolium salt,cell metabolic activity,-1.4239597,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,0.001,,H4,L,H,,Epithelial,A,Brain,48,MTS,tetrazolium salt,cell metabolic activity,71.82643,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,0.1,,H4,L,H,,Epithelial,A,Brain,48,MTS,tetrazolium salt,cell metabolic activity,59.056118,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,1,,H4,L,H,,Epithelial,A,Brain,48,MTS,tetrazolium salt,cell metabolic activity,68.19899,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,10,,H4,L,H,,Epithelial,A,Brain,48,MTS,tetrazolium salt,cell metabolic activity,38.425575,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,100,,H4,L,H,,Epithelial,A,Brain,48,MTS,tetrazolium salt,cell metabolic activity,-0.036262684,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,0.001,,SH­SY5Y,L,H,,Epithelial,A,Bone Marrow,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,97.65237,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,0.1,,SH­SY5Y,L,H,,Epithelial,A,Bone Marrow,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,98.91648,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,1,,SH­SY5Y,L,H,,Epithelial,A,Bone Marrow,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,97.65237,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,10,,SH­SY5Y,L,H,,Epithelial,A,Bone Marrow,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,89.75169,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,100,,SH­SY5Y,L,H,,Epithelial,A,Bone Marrow,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,41.083523,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,0.001,,H4,L,H,,Epithelial,A,Brain,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,98.284424,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,0.1,,H4,L,H,,Epithelial,A,Brain,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,98.60045,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,1,,H4,L,H,,Epithelial,A,Brain,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,97.33634,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,10,,H4,L,H,,Epithelial,A,Brain,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,90.06772,N,N,N,2008,5,10.1080/17458080802235765,
CuO,I,,33,100,,H4,L,H,,Epithelial,A,Brain,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,60.6772,N,N,N,2008,5,10.1080/17458080802235765,
CuS,I,,3,100,,HEK­293,L,H,,Epithelial,E,Kidney,48,WST­1,tetrazolium salt,cell metabolic activity,97.88231,N,N,N,2010,6,10.2217/nnm.10.85,
CuS,I,,3,200,,HEK­293,L,H,,Epithelial,E,Kidney,48,WST­1,tetrazolium salt,cell metabolic activity,96.61061,N,N,N,2010,6,10.2217/nnm.10.85,
CuS,I,,3,400,,HEK­293,L,H,,Epithelial,E,Kidney,48,WST­1,tetrazolium salt,cell metabolic activity,95.936755,N,N,N,2010,6,10.2217/nnm.10.85,
CuS,I,,3,0.001,,HEK­293,L,H,,Epithelial,E,Kidney,48,WST­1,tetrazolium salt,cell metabolic activity,100.76336,N,N,N,2010,6,10.2217/nnm.10.85,
CuS,I,,3,0.01,,HEK­293,L,H,,Epithelial,E,Kidney,48,WST­1,tetrazolium salt,cell metabolic activity,101.52672,N,N,N,2010,6,10.2217/nnm.10.85,
CuS,I,,3,0.1,,HEK­293,L,H,,Epithelial,E,Kidney,48,WST­1,tetrazolium salt,cell metabolic activity,100,N,N,N,2010,6,10.2217/nnm.10.85,
CuS,I,,3,1,,HEK­293,L,H,,Epithelial,E,Kidney,48,WST­1,tetrazolium salt,cell metabolic activity,103.30789,N,N,N,2010,6,10.2217/nnm.10.85,
CuS,I,,3,10,,HEK­293,L,H,,Epithelial,E,Kidney,48,WST­1,tetrazolium salt,cell metabolic activity,97.96438,N,N,N,2010,6,10.2217/nnm.10.85,
CuS,I,,3,100,,HEK­293,L,H,,Epithelial,E,Kidney,48,WST­1,tetrazolium salt,cell metabolic activity,89.31298,N,N,N,2010,6,10.2217/nnm.10.85,
CuS,I,,3,1000,,HEK­293,L,H,,Epithelial,E,Kidney,48,WST­1,tetrazolium salt,cell metabolic activity,52.92621,N,N,N,2010,6,10.2217/nnm.10.85,
ZnO,I,,165,1.00676E-09,-26,A431,L,H,,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,100.481926,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-08,-26,A431,L,H,,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,96.14458,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-07,-26,A431,L,H,,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,91.084335,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,6.29225E-07,-26,A431,L,H,,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,86.02409,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-06,-26,A431,L,H,,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,86.02409,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,2.5169E-06,-26,A431,L,H,,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,69.39759,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-09,-26,A431,L,H,,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,96.14458,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-08,-26,A431,L,H,,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,93.97591,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-07,-26,A431,L,H,,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,90.36144,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,6.29225E-07,-26,A431,L,H,,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,85.30121,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-06,-26,A431,L,H,,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,76.6265,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,2.5169E-06,-26,A431,L,H,,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,63.614456,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-09,-26,A431,L,H,,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,99.75903,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-08,-26,A431,L,H,,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,88.19277,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-07,-26,A431,L,H,,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,86.02409,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,6.29225E-07,-26,A431,L,H,,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,52.04819,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-06,-26,A431,L,H,,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,26.024096,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,2.5169E-06,-26,A431,L,H,,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,7.2289157,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-09,-26,A431,L,H,,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,90.36144,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-08,-26,A431,L,H,,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,88.19277,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-07,-26,A431,L,H,,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,86.02409,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,6.29225E-07,-26,A431,L,H,,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,41.92771,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-06,-26,A431,L,H,,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,9.397591,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,2.5169E-06,-26,A431,L,H,,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,6.506024,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-09,-26,A431,L,H,,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,100.52232,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-08,-26,A431,L,H,,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,97.6419,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-07,-26,A431,L,H,,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,98.22968,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,6.29225E-07,-26,A431,L,H,,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,104.363815,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-06,-26,A431,L,H,,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,101.48339,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,2.5169E-06,-26,A431,L,H,,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,99.29382,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-09,-26,A431,L,H,,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,99.02918,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-08,-26,A431,L,H,,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,98.22968,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-07,-26,A431,L,H,,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,95.34369,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,6.29225E-07,-26,A431,L,H,,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,92.463264,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-06,-26,A431,L,H,,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,82.640854,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,2.5169E-06,-26,A431,L,H,,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,63.115814,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-09,-26,A431,L,H,,Epithelial,A,Skin,24,NR,toluylene red,lysosomal uptake,101.80375,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-08,-26,A431,L,H,,Epithelial,A,Skin,24,NR,toluylene red,lysosomal uptake,101.001465,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-07,-26,A431,L,H,,Epithelial,A,Skin,24,NR,toluylene red,lysosomal uptake,97.424614,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,6.29225E-07,-26,A431,L,H,,Epithelial,A,Skin,24,NR,toluylene red,lysosomal uptake,88.99784,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-06,-26,A431,L,H,,Epithelial,A,Skin,24,NR,toluylene red,lysosomal uptake,54.897972,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,2.5169E-06,-26,A431,L,H,,Epithelial,A,Skin,24,NR,toluylene red,lysosomal uptake,48.549343,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-09,-26,A431,L,H,,Epithelial,A,Skin,48,NR,toluylene red,lysosomal uptake,93.477264,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-08,-26,A431,L,H,,Epithelial,A,Skin,48,NR,toluylene red,lysosomal uptake,91.98412,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-07,-26,A431,L,H,,Epithelial,A,Skin,48,NR,toluylene red,lysosomal uptake,96.73376,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,6.29225E-07,-26,A431,L,H,,Epithelial,A,Skin,48,NR,toluylene red,lysosomal uptake,69.57309,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,1.00676E-06,-26,A431,L,H,,Epithelial,A,Skin,48,NR,toluylene red,lysosomal uptake,43.79971,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,165,2.5169E-06,-26,A431,L,H,,Epithelial,A,Skin,48,NR,toluylene red,lysosomal uptake,34.67651,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,
ZnO,I,,10,0.000847968,,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,WST­1,tetrazolium salt,cell metabolic activity,124.066376,Y,N,Y,2012,8,10.1016/j.tiv.2011.12.006,
ZnO,I,,11,0.002703539,,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,WST­1,tetrazolium salt,cell metabolic activity,136.3089,Y,N,Y,2012,8,10.1016/j.tiv.2011.12.006,
ZnO,I,,12,0.003617543,,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,WST­1,tetrazolium salt,cell metabolic activity,76.85051,Y,N,Y,2012,8,10.1016/j.tiv.2011.12.006,
ZnO,I,,13,0.010059326,,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,WST­1,tetrazolium salt,cell metabolic activity,31.543184,Y,N,Y,2012,8,10.1016/j.tiv.2011.12.006,
ZnO,I,,14,0.014431936,,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,WST­1,tetrazolium salt,cell metabolic activity,27.747828,Y,N,Y,2012,8,10.1016/j.tiv.2011.12.006,
ZnO,I,,15,0.000132847,,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,27.093307,Y,N,Y,2012,8,10.1016/j.tiv.2011.12.006,
ZnO,I,,16,0.000500173,,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,52.859447,Y,N,Y,2012,8,10.1016/j.tiv.2011.12.006,
