Source,NP Type,Size,Shape,Surface area,Zeta potential,Hydrodynamic size,Molecular weight,Surface charge,Surface charge (categorical),Surface coating,Surface reactivity,Aggregation,Electronegativity,Ionic radius,QD Concentration,QD Core,QD Shell,QD Emission wavelength,QD Surface ligand,Cell origin (species),Cell origin (organ),Cell origin (anatomical),Cell origin (primary or cell-line),Cell name,Dose,Exposure time,Assay,Target
"Furxhi, 2020",SiO2,20.0,Spherical,147.8,-9.404060406489037,2.81903035533918,,,,,,,,,,,,,,Human,,Endothelial,,BMEC,100.0,24.0,MTS,0.0
"Furxhi, 2020",SiO2,20.0,Spherical,147.8,-9.404060406489037,2.81903035533918,,,,,,,,,,,,,,Human,,Endothelial,,BMEC,200.0,24.0,MTS,0.0
"Furxhi, 2020",SiO2,20.0,Spherical,147.8,-9.404060406489037,2.81903035533918,,,,,,,,,,,,,,Human,,Endothelial,,BMEC,300.0,24.0,MTS,0.0
"Furxhi, 2020",SiO2,20.0,Spherical,147.8,-9.404060406489037,2.81903035533918,,,,,,,,,,,,,,Human,,Endothelial,,BMEC,400.0,24.0,MTS,0.0
"Furxhi, 2020",SiO2,20.0,Spherical,147.8,-9.404060406489037,2.81903035533918,,,,,,,,,,,,,,Human,,Endothelial,,BMEC,500.0,24.0,MTS,0.0
"Furxhi, 2020",SiO2,20.0,Spherical,147.8,-9.404060406489037,2.81903035533918,,,,,,,,,,,,,,Human,,Endothelial,,BMEC,600.0,24.0,MTS,0.0
"Furxhi, 2020",SiO2,20.0,Spherical,147.8,-9.404060406489037,2.81903035533918,,,,,,,,,,,,,,Human,,Endothelial,,BMEC,700.0,24.0,MTS,0.0
"Furxhi, 2020",SiO2,20.0,Spherical,147.8,-9.404060406489037,2.81903035533918,,,,,,,,,,,,,,Human,,Endothelial,,BMEC,800.0,24.0,MTS,0.0
"Furxhi, 2020",Ag,28.0,Spherical,,-44.2,106.0,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,25.0,24.0,XTT,0.0
"Furxhi, 2020",Ag,28.0,Spherical,,-44.2,106.0,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,50.0,24.0,XTT,0.0
"Furxhi, 2020",Ag,47.0,Spherical,,-46.0,54.9,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,25.0,24.0,XTT,0.0
"Furxhi, 2020",Ag,47.0,Spherical,,-46.0,54.9,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,50.0,24.0,XTT,0.0
"Furxhi, 2020",Ag,102.0,Spherical,,-29.5,177.0,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,25.0,24.0,XTT,1.0
"Furxhi, 2020",Ag,102.0,Spherical,,-29.5,177.0,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,50.0,24.0,XTT,0.0
"Furxhi, 2020",Ag,8.0,Spherical,,6.3,114.5,,,,,,,,,,,,,,Mouse,,Astrocyte,,ALT,2.0,24.0,AlamarBlue,0.0
"Furxhi, 2020",Ag,8.0,Spherical,,6.3,114.5,,,,,,,,,,,,,,Mouse,,Astrocyte,,ALT,4.0,24.0,AlamarBlue,1.0
"Furxhi, 2020",TiO2,6.0,Oval,,44.0,48.4,,,,,,,,,,,,,,Mouse,,Astrocyte,,ALT,15.0,24.0,AlamarBlue,1.0
"Furxhi, 2020",TiO2,6.0,Oval,,44.0,48.4,,,,,,,,,,,,,,Mouse,,Astrocyte,,ALT,100.0,24.0,AlamarBlue,1.0
"Furxhi, 2020",TiO2,35.0,Oval,,42.8,130.5,,,,,,,,,,,,,,Mouse,,Astrocyte,,ALT,100.0,24.0,AlamarBlue,1.0
"Furxhi, 2020",TiO2,25.2,Oval,,,,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,50.0,24.0,MTT,1.0
"Furxhi, 2020",TiO2,25.2,Oval,,,,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,100.0,24.0,MTT,1.0
"Furxhi, 2020",TiO2,25.2,Oval,,,,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,150.0,24.0,MTT,1.0
"Furxhi, 2020",TiO2,25.2,Oval,,,,,,,,,,,,,,,,,Rat,,Endothelial,,BMEC,200.0,24.0,MTT,1.0
"Furxhi, 2020",CuO,5.0,Crystalline,,-49.0,136.0,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,6.0,6.0,LDH,0.0
"Furxhi, 2020",CuO,5.0,Crystalline,,-49.0,136.0,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,12.0,3.0,LDH,0.0
"Furxhi, 2020",CuO,5.0,Crystalline,,-49.0,136.0,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,63.0,6.0,LDH,0.0
"Furxhi, 2020",CuO,5.0,Crystalline,,-49.0,136.0,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,0.06,3.0,LDH,1.0
"Furxhi, 2020",SiO2,165.0,Spherical,,1.6666062342949743,-6.31934268344844,,,,,,,,,,,,,,Rat,,Microglial,,Primary,0.0218,24.0,MTS,1.0
"Furxhi, 2020",SiO2,165.0,Spherical,,1.6666062342949743,-6.31934268344844,,,,,,,,,,,,,,Rat,,Microglial,,Primary,0.0728,24.0,MTS,1.0
"Furxhi, 2020",SiO2,165.0,Spherical,,1.6666062342949743,-6.31934268344844,,,,,,,,,,,,,,Rat,,Microglial,,Primary,0.364,24.0,MTS,1.0
"Furxhi, 2020",SiO2,165.0,Spherical,,1.6666062342949743,-6.31934268344844,,,,,,,,,,,,,,Rat,,Microglial,,Primary,2.18,24.0,MTS,1.0
"Furxhi, 2020",SiO2,165.0,Spherical,,1.6666062342949743,-6.31934268344844,,,,,,,,,,,,,,Rat,,Microglial,,Primary,7.28,24.0,MTS,1.0
"Furxhi, 2020",SiO2,165.0,Spherical,,1.6666062342949743,-6.31934268344844,,,,,,,,,,,,,,Rat,,Microglial,,Primary,36.4,24.0,MTS,1.0
"Furxhi, 2020",Ag,4.0,,,-26.083864811936945,,,,,,,,,,,,,,,Mouse,,Astrocyte,,ALT,0.5,24.0,AlamarBlue,0.0
"Furxhi, 2020",Ag,4.0,,,-26.083864811936945,,,,,,,,,,,,,,,Mouse,,Astrocyte,,ALT,1.0,24.0,AlamarBlue,0.0
"Furxhi, 2020",Ag,4.0,,,-26.083864811936945,,,,,,,,,,,,,,,Mouse,,Astrocyte,,ALT,10.0,24.0,AlamarBlue,0.0
"Furxhi, 2020",Ag,4.0,,,-26.083864811936945,,,,,,,,,,,,,,,Mouse,,Astrocyte,,ALT,12.5,24.0,AlamarBlue,0.0
"Furxhi, 2020",Ag,4.0,,,-26.083864811936945,,,,,,,,,,,,,,,Mouse,,Neuroblastoma,,N2a,0.5,24.0,AlamarBlue,1.0
"Furxhi, 2020",Ag,4.0,,,-26.083864811936945,,,,,,,,,,,,,,,Mouse,,Neuroblastoma,,N2a,1.0,24.0,AlamarBlue,1.0
"Furxhi, 2020",Ag,4.0,,,-26.083864811936945,,,,,,,,,,,,,,,Mouse,,Neuroblastoma,,N2a,10.0,24.0,AlamarBlue,1.0
"Furxhi, 2020",Ag,4.0,,,-26.083864811936945,,,,,,,,,,,,,,,Mouse,,Neuroblastoma,,N2a,12.5,24.0,AlamarBlue,0.0
"Furxhi, 2020",Ag,4.0,,,-26.083864811936945,,,,,,,,,,,,,,,Mouse,,Microglial,,BV2,0.5,24.0,AlamarBlue,1.0
"Furxhi, 2020",Ag,4.0,,,-26.083864811936945,,,,,,,,,,,,,,,Mouse,,Microglial,,BV2,1.0,24.0,AlamarBlue,1.0
"Furxhi, 2020",Ag,4.0,,,-26.083864811936945,,,,,,,,,,,,,,,Mouse,,Microglial,,BV2,10.0,24.0,AlamarBlue,1.0
"Furxhi, 2020",Ag,4.0,,,-26.083864811936945,,,,,,,,,,,,,,,Mouse,,Microglial,,BV2,12.5,24.0,AlamarBlue,1.0
"Furxhi, 2020",TiO2,25.0,,,-12.2,,,,,,,,,,,,,,,Mouse,,Microglial,,BV2,40.0,6.0,Caspase,0.0
"Furxhi, 2020",TiO2,25.0,,,-12.2,,,,,,,,,,,,,,,Mouse,,Microglial,,BV2,40.0,24.0,Caspase,0.0
"Furxhi, 2020",TiO2,25.0,,,-12.2,,,,,,,,,,,,,,,Rat,,Mesencephalic,,N27 ,40.0,24.0,Caspase,1.0
"Furxhi, 2020",TiO2,25.0,,,-12.2,,,,,,,,,,,,,,,Rat,,Mesencephalic,,N27 ,40.0,48.0,Caspase,1.0
"Furxhi, 2020",TiO2,25.0,,,-12.2,,,,,,,,,,,,,,,Rat,,Mesencephalic,,N27 ,40.0,72.0,Caspase,1.0
"Furxhi, 2020",TiO2,25.0,,,-12.2,,,,,,,,,,,,,,,Rat,,Mesencephalic,,N27 ,80.0,24.0,Caspase,1.0
"Furxhi, 2020",TiO2,25.0,,,-12.2,,,,,,,,,,,,,,,Rat,,Mesencephalic,,N27 ,80.0,48.0,Caspase,1.0
"Furxhi, 2020",TiO2,25.0,,,-12.2,,,,,,,,,,,,,,,Rat,,Mesencephalic,,N27 ,80.0,72.0,Caspase,1.0
"Furxhi, 2020",TiO2,25.0,,,-12.2,,,,,,,,,,,,,,,Rat,,Mesencephalic,,N27 ,120.0,24.0,Caspase,1.0
"Furxhi, 2020",TiO2,25.0,,,-12.2,,,,,,,,,,,,,,,Rat,,Mesencephalic,,N27 ,120.0,48.0,Caspase,1.0
"Furxhi, 2020",TiO2,25.0,,,-12.2,,,,,,,,,,,,,,,Rat,,Mesencephalic,,N27 ,120.0,72.0,Caspase,1.0
"Furxhi, 2020",TiO2,25.0,,,-12.2,,,,,,,,,,,,,,,Rat,,Mesencephalic,,N27 ,5.0,6.0,Caspase,0.0
"Furxhi, 2020",TiO2,50.0,Spherical,,-16.932113722222162,681.2518447549328,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,25.0,24.0,MTT,0.0
"Furxhi, 2020",TiO2,50.0,Spherical,,-18.40820260766003,708.1186614889683,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,50.0,24.0,MTT,0.0
"Furxhi, 2020",TiO2,50.0,Spherical,,-16.341678168047018,688.7453106467385,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,100.0,24.0,MTT,0.0
"Furxhi, 2020",TiO2,21.0,Irregular,,-16.489287056590804,362.688160622796,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,25.0,24.0,MTT,0.0
"Furxhi, 2020",TiO2,21.0,Irregular,,-19.73668260455411,356.4740669564204,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,50.0,24.0,MTT,0.0
"Furxhi, 2020",TiO2,21.0,Irregular,,-18.70342038474761,354.463624887887,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,100.0,24.0,MTT,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,1.5,48.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,15.0,48.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,31.0,48.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,62.0,48.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,125.0,48.0,MTT,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,250.0,48.0,MTT,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,1.5,24.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,15.0,24.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,31.0,24.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,62.0,24.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,125.0,24.0,MTT,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,250.0,24.0,MTT,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,1.5,4.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,15.0,4.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,31.0,4.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,62.0,4.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,125.0,4.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-33.685722571941966,356.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,250.0,4.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,1.5,48.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,15.0,48.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,31.0,48.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,62.0,48.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,125.0,48.0,MTT,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,250.0,48.0,MTT,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,1.5,24.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,15.0,24.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,31.0,24.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,62.0,24.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,125.0,24.0,MTT,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,250.0,24.0,MTT,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,1.5,4.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,15.0,4.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,31.0,4.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,62.0,4.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,125.0,4.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-36.09174745520569,299.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,250.0,4.0,MTT,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-32.75578657411611,275.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,0.1,168.0,Clonogenic,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-32.75578657411611,275.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,0.2,168.0,Clonogenic,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-32.75578657411611,275.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,1.5,168.0,Clonogenic,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-32.75578657411611,275.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,5.0,168.0,Clonogenic,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-32.75578657411611,275.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,15.0,168.0,Clonogenic,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-32.75578657411611,275.0,,,,,,,,,,,,,,Human,,Medulloblastoma,,D384,31.0,168.0,Clonogenic,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-31.250175910969485,243.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,0.1,168.0,Clonogenic,1.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-31.250175910969485,243.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,0.2,168.0,Clonogenic,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-31.250175910969485,243.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,1.5,168.0,Clonogenic,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-31.250175910969485,243.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,5.0,168.0,Clonogenic,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-31.250175910969485,243.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,15.0,168.0,Clonogenic,0.0
"Furxhi, 2020",TiO2,15.0,Spherical,240.0,-31.250175910969485,243.0,,,,,,,,,,,,,,Human,,Neuroblastoma,,SHSY5Y,31.0,168.0,Clonogenic,0.0
"Furxhi, 2020",ZnO,45.0,Rod,35.0,,2181.0,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,4.0,6.0,MTT,1.0
"Furxhi, 2020",ZnO,45.0,Rod,35.0,,2181.0,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,4.0,12.0,MTT,1.0
"Furxhi, 2020",ZnO,45.0,Rod,35.0,,2181.0,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,4.0,24.0,MTT,1.0
"Furxhi, 2020",ZnO,45.0,Rod,35.0,,2181.0,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,8.0,6.0,MTT,1.0
"Furxhi, 2020",ZnO,45.0,Rod,35.0,,2181.0,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,8.0,12.0,MTT,0.0
"Furxhi, 2020",ZnO,45.0,Rod,35.0,,2181.0,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,8.0,24.0,MTT,0.0
"Furxhi, 2020",ZnO,45.0,Rod,35.0,,2181.0,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,12.0,6.0,MTT,0.0
"Furxhi, 2020",ZnO,45.0,Rod,35.0,,2181.0,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,12.0,12.0,MTT,0.0
"Furxhi, 2020",ZnO,45.0,Rod,35.0,,2181.0,,,,,,,,,,,,,,Rat,,Astrocyte,,Primary,12.0,24.0,MTT,0.0
"Furxhi, 2020",ZnO,38.52,,,-15.8,166.2,,,,,,,,,,,,,,Mouse,,Microglial,,N9,1.0,24.0,MTT,1.0
"Furxhi, 2020",ZnO,38.52,,,-15.8,166.2,,,,,,,,,,,,,,Mouse,,Microglial,,N9,2.5,24.0,MTT,1.0
"Furxhi, 2020",ZnO,38.52,,,-15.8,166.2,,,,,,,,,,,,,,Mouse,,Microglial,,N9,5.0,24.0,MTT,0.0
"Furxhi, 2020",ZnO,38.52,,,-15.8,166.2,,,,,,,,,,,,,,Mouse,,Microglial,,N9,6.0,24.0,MTT,0.0
"Furxhi, 2020",ZnO,38.52,,,-15.8,166.2,,,,,,,,,,,,,,Mouse,,Microglial,,N9,7.5,24.0,MTT,0.0
"Furxhi, 2020",ZnO,38.52,,,-15.8,166.2,,,,,,,,,,,,,,Mouse,,Microglial,,N9,10.0,24.0,MTT,0.0
"Furxhi, 2020",ZnO,38.52,,,-15.8,166.2,,,,,,,,,,,,,,Mouse,,Microglial,,N9,25.0,24.0,MTT,0.0
"Furxhi, 2020",ZnO,38.52,,,-15.8,166.2,,,,,,,,,,,,,,Mouse,,Microglial,,N9,50.0,24.0,MTT,0.0
"Furxhi, 2020",ZnO,38.52,,,-15.8,166.2,,,,,,,,,,,,,,Mouse,,Microglial,,N9,75.0,24.0,MTT,0.0
"Furxhi, 2020",ZnO,38.52,,,-15.8,166.2,,,,,,,,,,,,,,Mouse,,Microglial,,N9,100.0,24.0,MTT,0.0
"Furxhi, 2020",ZnO,38.52,,,-15.8,166.2,,,,,,,,,,,,,,Mouse,,Microglial,,N9,5.0,36.0,MTT,0.0
"Furxhi, 2020",ZnO,38.52,,,-15.8,166.2,,,,,,,,,,,,,,Mouse,,Microglial,,N9,6.5,48.0,MTT,0.0
"Furxhi, 2020",ZnO,50.0,Prism,,,500.8,,,,,,,,,,,,,,Mouse,,Microglial,,BV2,5.0,24.0,MTT,1.0
"Furxhi, 2020",ZnO,50.0,Prism,,,500.8,,,,,,,,,,,,,,Mouse,,Microglial,,BV2,10.0,24.0,MTT,1.0
"Furxhi, 2020",ZnO,50.0,Prism,,,500.8,,,,,,,,,,,,,,Mouse,,Microglial,,BV2,15.0,24.0,MTT,0.0
"Furxhi, 2020",ZnO,50.0,Prism,,,500.8,,,,,,,,,,,,,,Mouse,,Microglial,,BV2,20.0,24.0,MTT,0.0
"Furxhi, 2020",ZnO,50.0,Prism,,,500.8,,,,,,,,,,,,,,Mouse,,Microglial,,BV2,25.0,24.0,MTT,0.0
"Furxhi, 2020",ZnO,50.0,Prism,,,500.8,,,,,,,,,,,,,,Mouse,,Microglial,,BV2,30.0,24.0,MTT,0.0
"Furxhi, 2020",CuO,30.0,Cubic,,-66.44013493980826,485.32512680332593,,,,,,,,,,,,,,Rat,,Pheochromocytoma,,PC12,1.0,3.0,MTT,0.0
"Furxhi, 2020",CuO,30.0,Cubic,,-66.44013493980826,485.32512680332593,,,,,,,,,,,,,,Rat,,Pheochromocytoma,,PC12,10.0,3.0,MTT,0.0
"Furxhi, 2020",CuO,30.0,Cubic,,-66.44013493980826,485.32512680332593,,,,,,,,,,,,,,Rat,,Pheochromocytoma,,PC12,30.0,3.0,MTT,0.0
"Furxhi, 2020",CuO,30.0,Cubic,,-66.44013493980826,485.32512680332593,,,,,,,,,,,,,,Rat,,Pheochromocytoma,,PC12,100.0,3.0,MTT,0.0
"Furxhi, 2020",CuO,30.0,Cubic,,-66.44013493980826,485.32512680332593,,,,,,,,,,,,,,Rat,,Pheochromocytoma,,PC12,1.0,6.0,MTT,0.0
"Furxhi, 2020",CuO,30.0,Cubic,,-66.44013493980826,485.32512680332593,,,,,,,,,,,,,,Rat,,Pheochromocytoma,,PC12,10.0,6.0,MTT,0.0
